run,model,stage,emotion,score
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,2,confident,0.5572613875071207
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,2,desperate,0.5566555857658386
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,2,frustrated,0.6326903700828552
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,2,patient,0.5561257004737854
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,2,stressed,0.5129467944304148
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,2,stuck,0.6020859281222025
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,3,calm,0.45637913544972736
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,3,confident,0.503513922293981
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,3,desperate,0.5314985315004984
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,3,frustrated,0.5244008700052897
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,3,patient,0.4662809669971466
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,3,stressed,0.5254610776901245
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,3,stuck,0.5425212581952413
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,4,calm,0.49290130535761517
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,4,confident,0.5350322127342224
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,4,desperate,0.5706908305486044
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,4,frustrated,0.5483032464981079
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,4,patient,0.5554943283398946
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,4,stressed,0.5019470155239105
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,4,stuck,0.5522359808286031
